block,floor,stack,size,price
97A,#02,588,93 sqm,"$537,200"
97A,#02,590,93 sqm,"$537,200"
97A,#02,592,93 sqm,"$488,400"
97A,#02,594,93 sqm,"$488,400"
97A,#02,596,93 sqm,"$537,200"
97A,#02,598,93 sqm,"$537,200"
97A,#02,600,93 sqm,"$537,200"
97B,#19,602,93 sqm,"$613,200"
97B,#19,604,93 sqm,"$613,200"
97B,#19,606,93 sqm,"$613,200"
97B,#19,608,93 sqm,"$613,200"
97B,#19,610,93 sqm,"$613,200"
97B,#19,612,93 sqm,"$613,200"
97B,#19,618,93 sqm,"$613,200"
97B,#19,620,93 sqm,"$613,200"
97B,#18,602,93 sqm,"$613,200"
97B,#18,604,93 sqm,"$613,200"
97B,#18,606,93 sqm,"$613,200"
97B,#18,608,93 sqm,"$613,200"
97B,#18,610,93 sqm,"$613,200"
97B,#18,612,93 sqm,"$613,200"
97B,#18,618,93 sqm,"$613,200"
97B,#18,620,93 sqm,"$613,200"
97B,#17,602,93 sqm,"$610,800"
97B,#17,604,93 sqm,"$610,800"
97B,#17,606,93 sqm,"$610,800"
97B,#17,608,93 sqm,"$610,800"
97B,#17,610,93 sqm,"$610,800"
97B,#17,612,93 sqm,"$610,800"
97B,#17,618,93 sqm,"$610,800"
97B,#17,620,93 sqm,"$610,800"
97B,#16,602,93 sqm,"$608,400"
97B,#16,604,93 sqm,"$608,400"
97B,#16,606,93 sqm,"$608,400"
97B,#16,608,93 sqm,"$608,400"
97B,#16,610,93 sqm,"$608,400"
97B,#16,612,93 sqm,"$608,400"
97B,#16,618,93 sqm,"$608,400"
97B,#16,620,93 sqm,"$608,400"
97B,#15,602,93 sqm,"$606,000"
97B,#15,604,93 sqm,"$606,000"
97B,#15,606,93 sqm,"$606,000"
97B,#15,608,93 sqm,"$606,000"
97B,#15,610,93 sqm,"$606,000"
97B,#15,612,93 sqm,"$606,000"
97B,#15,614,93 sqm,"$603,600"
97B,#15,616,93 sqm,"$603,600"
97B,#15,618,93 sqm,"$606,000"
97B,#15,620,93 sqm,"$606,000"
97B,#14,602,93 sqm,"$603,600"
97B,#14,604,93 sqm,"$603,600"
97B,#14,606,93 sqm,"$603,600"
97B,#14,608,93 sqm,"$603,600"
97B,#14,610,93 sqm,"$603,600"
97B,#14,612,93 sqm,"$603,600"
97B,#14,614,93 sqm,"$603,600"
97B,#14,616,93 sqm,"$603,600"
97B,#14,618,93 sqm,"$603,600"
97B,#14,620,93 sqm,"$603,600"
97B,#13,602,93 sqm,"$601,200"
97B,#13,604,93 sqm,"$601,200"
97B,#13,606,93 sqm,"$595,100"
97B,#13,608,93 sqm,"$595,100"
97B,#13,610,93 sqm,"$601,200"
97B,#13,612,93 sqm,"$601,200"
97B,#13,614,93 sqm,"$601,200"
97B,#13,616,93 sqm,"$601,200"
97B,#13,618,93 sqm,"$601,200"
97B,#13,620,93 sqm,"$601,200"
97B,#12,602,93 sqm,"$598,800"
97B,#12,604,93 sqm,"$598,800"
97B,#12,606,93 sqm,"$586,600"
97B,#12,608,93 sqm,"$586,600"
97B,#12,610,93 sqm,"$598,800"
97B,#12,612,93 sqm,"$598,800"
97B,#12,614,93 sqm,"$598,800"
97B,#12,616,93 sqm,"$598,800"
97B,#12,618,93 sqm,"$598,800"
97B,#12,620,93 sqm,"$598,800"
97B,#11,602,93 sqm,"$596,400"
97B,#11,604,93 sqm,"$596,400"
97B,#11,606,93 sqm,"$584,200"
97B,#11,608,93 sqm,"$584,200"
97B,#11,610,93 sqm,"$596,400"
97B,#11,612,93 sqm,"$596,400"
97B,#11,614,93 sqm,"$596,400"
97B,#11,616,93 sqm,"$596,400"
97B,#11,618,93 sqm,"$596,400"
97B,#11,620,93 sqm,"$596,400"
97B,#10,602,93 sqm,"$594,000"
97B,#10,604,93 sqm,"$594,000"
97B,#10,606,93 sqm,"$581,800"
97B,#10,608,93 sqm,"$581,800"
97B,#10,610,93 sqm,"$594,000"
97B,#10,612,93 sqm,"$594,000"
97B,#10,614,93 sqm,"$594,000"
97B,#10,616,93 sqm,"$594,000"
97B,#10,618,93 sqm,"$594,000"
97B,#10,620,93 sqm,"$594,000"
97B,#09,602,93 sqm,"$591,600"
97B,#09,604,93 sqm,"$591,600"
97B,#09,606,93 sqm,"$579,400"
97B,#09,608,93 sqm,"$579,400"
97B,#09,610,93 sqm,"$591,600"
97B,#09,612,93 sqm,"$591,600"
97B,#09,614,93 sqm,"$591,600"
97B,#09,616,93 sqm,"$591,600"
97B,#09,618,93 sqm,"$591,600"
97B,#09,620,93 sqm,"$591,600"
97B,#08,602,93 sqm,"$589,200"
97B,#08,604,93 sqm,"$589,200"
97B,#08,606,93 sqm,"$577,000"
97B,#08,608,93 sqm,"$577,000"
97B,#08,610,93 sqm,"$589,200"
97B,#08,612,93 sqm,"$589,200"
97B,#08,614,93 sqm,"$589,200"
97B,#08,616,93 sqm,"$589,200"
97B,#08,618,93 sqm,"$589,200"
97B,#08,620,93 sqm,"$589,200"
97B,#07,602,93 sqm,"$583,100"
97B,#07,604,93 sqm,"$583,100"
97B,#07,606,93 sqm,"$570,900"
97B,#07,608,93 sqm,"$570,900"
97B,#07,610,93 sqm,"$583,100"
97B,#07,612,93 sqm,"$583,100"
97B,#07,614,93 sqm,"$583,100"
97B,#07,616,93 sqm,"$583,100"
97B,#07,618,93 sqm,"$583,100"
97B,#07,620,93 sqm,"$583,100"
97B,#06,602,93 sqm,"$577,000"
97B,#06,604,93 sqm,"$577,000"
97B,#06,606,93 sqm,"$564,800"
97B,#06,608,93 sqm,"$564,800"
97B,#06,610,93 sqm,"$577,000"
97B,#06,612,93 sqm,"$577,000"
97B,#06,614,93 sqm,"$577,000"
97B,#06,616,93 sqm,"$577,000"
97B,#06,618,93 sqm,"$577,000"
97B,#06,620,93 sqm,"$577,000"
97B,#05,602,93 sqm,"$570,900"
97B,#05,604,93 sqm,"$570,900"
97B,#05,606,93 sqm,"$558,700"
97B,#05,608,93 sqm,"$558,700"
97B,#05,610,93 sqm,"$570,900"
97B,#05,612,93 sqm,"$570,900"
97B,#05,614,93 sqm,"$570,900"
97B,#05,616,93 sqm,"$570,900"
97B,#05,618,93 sqm,"$570,900"
97B,#05,620,93 sqm,"$570,900"
97B,#04,602,93 sqm,"$561,700"
97B,#04,604,93 sqm,"$561,700"
97B,#04,606,93 sqm,"$549,500"
97B,#04,608,93 sqm,"$549,500"
97B,#04,610,93 sqm,"$561,700"
97B,#04,612,93 sqm,"$561,700"
97B,#04,614,93 sqm,"$555,600"
97B,#04,616,93 sqm,"$549,500"
97B,#04,618,93 sqm,"$555,600"
97B,#04,620,93 sqm,"$561,700"
97B,#03,602,93 sqm,"$552,500"
97B,#03,604,93 sqm,"$552,500"
97B,#03,606,93 sqm,"$540,300"
97B,#03,608,93 sqm,"$540,300"
97B,#03,610,93 sqm,"$552,500"
97B,#03,612,93 sqm,"$552,500"
97B,#03,614,93 sqm,"$540,300"
97B,#03,616,93 sqm,"$528,100"
97B,#03,618,93 sqm,"$540,300"
97B,#03,620,93 sqm,"$552,500"
97B,#02,602,93 sqm,"$543,300"
97B,#02,604,93 sqm,"$543,300"
97B,#02,606,93 sqm,"$531,100"
97B,#02,608,93 sqm,"$531,100"
97B,#02,610,93 sqm,"$531,100"
97B,#02,612,93 sqm,"$531,100"
97B,#02,614,93 sqm,"$531,100"
97B,#02,616,93 sqm,"$518,900"
97B,#02,618,93 sqm,"$518,900"
97B,#02,620,93 sqm,"$543,300"
99A,#19,622,93 sqm,"$613,200"
99A,#19,624,93 sqm,"$613,200"
99A,#19,626,93 sqm,"$601,000"
99A,#19,628,93 sqm,"$613,200"
99A,#19,630,93 sqm,"$601,000"
99A,#19,632,93 sqm,"$613,200"
99A,#19,634,93 sqm,"$613,200"
99A,#19,636,93 sqm,"$613,200"
99A,#19,638,93 sqm,"$613,200"
99A,#18,622,93 sqm,"$613,200"
99A,#18,624,93 sqm,"$613,200"
99A,#18,626,93 sqm,"$601,000"
99A,#18,628,93 sqm,"$613,200"
99A,#18,630,93 sqm,"$601,000"
99A,#18,632,93 sqm,"$613,200"
99A,#18,634,93 sqm,"$613,200"
99A,#18,636,93 sqm,"$613,200"
99A,#18,638,93 sqm,"$613,200"
99A,#17,622,93 sqm,"$610,800"
99A,#17,624,93 sqm,"$610,800"
99A,#17,626,93 sqm,"$598,600"
99A,#17,628,93 sqm,"$610,800"
99A,#17,630,93 sqm,"$598,600"
99A,#17,632,93 sqm,"$610,800"
99A,#17,634,93 sqm,"$610,800"
99A,#17,636,93 sqm,"$610,800"
99A,#17,638,93 sqm,"$610,800"
99A,#16,622,93 sqm,"$608,400"
99A,#16,624,93 sqm,"$608,400"
99A,#16,626,93 sqm,"$596,200"
99A,#16,628,93 sqm,"$608,400"
99A,#16,630,93 sqm,"$596,200"
99A,#16,632,93 sqm,"$608,400"
99A,#16,634,93 sqm,"$608,400"
99A,#16,636,93 sqm,"$608,400"
99A,#16,638,93 sqm,"$608,400"
99A,#15,622,93 sqm,"$606,000"
99A,#15,624,93 sqm,"$606,000"
99A,#15,626,93 sqm,"$593,800"
99A,#15,628,93 sqm,"$606,000"
99A,#15,630,93 sqm,"$593,800"
99A,#15,632,93 sqm,"$606,000"
99A,#15,634,93 sqm,"$606,000"
99A,#15,636,93 sqm,"$606,000"
99A,#15,638,93 sqm,"$606,000"
99A,#14,622,93 sqm,"$603,600"
99A,#14,624,93 sqm,"$603,600"
99A,#14,626,93 sqm,"$591,400"
99A,#14,628,93 sqm,"$603,600"
99A,#14,630,93 sqm,"$591,400"
99A,#14,632,93 sqm,"$603,600"
99A,#14,634,93 sqm,"$603,600"
99A,#14,636,93 sqm,"$603,600"
99A,#14,638,93 sqm,"$603,600"
99A,#13,622,93 sqm,"$601,200"
99A,#13,624,93 sqm,"$601,200"
99A,#13,626,93 sqm,"$589,000"
99A,#13,628,93 sqm,"$601,200"
99A,#13,630,93 sqm,"$589,000"
99A,#13,632,93 sqm,"$601,200"
99A,#13,634,93 sqm,"$601,200"
99A,#13,636,93 sqm,"$601,200"
99A,#13,638,93 sqm,"$601,200"
99A,#12,622,93 sqm,"$598,800"
99A,#12,624,93 sqm,"$598,800"
99A,#12,626,93 sqm,"$586,600"
99A,#12,628,93 sqm,"$592,700"
99A,#12,630,93 sqm,"$586,600"
99A,#12,632,93 sqm,"$598,800"
99A,#12,634,93 sqm,"$598,800"
99A,#12,636,93 sqm,"$598,800"
99A,#12,638,93 sqm,"$598,800"
99A,#11,622,93 sqm,"$596,400"
99A,#11,624,93 sqm,"$596,400"
99A,#11,626,93 sqm,"$584,200"
99A,#11,628,93 sqm,"$584,200"
99A,#11,630,93 sqm,"$584,200"
99A,#11,632,93 sqm,"$596,400"
99A,#11,634,93 sqm,"$596,400"
99A,#11,636,93 sqm,"$596,400"
99A,#11,638,93 sqm,"$596,400"
99A,#10,622,93 sqm,"$594,000"
99A,#10,624,93 sqm,"$594,000"
99A,#10,626,93 sqm,"$581,800"
99A,#10,628,93 sqm,"$581,800"
99A,#10,630,93 sqm,"$581,800"
99A,#10,632,93 sqm,"$594,000"
99A,#10,634,93 sqm,"$594,000"
99A,#10,636,93 sqm,"$594,000"
99A,#10,638,93 sqm,"$594,000"
99A,#09,622,93 sqm,"$591,600"
99A,#09,624,93 sqm,"$591,600"
99A,#09,628,93 sqm,"$579,400"
99A,#09,630,93 sqm,"$579,400"
99A,#09,632,93 sqm,"$591,600"
99A,#09,634,93 sqm,"$591,600"
99A,#09,636,93 sqm,"$591,600"
99A,#09,638,93 sqm,"$591,600"
99A,#08,622,93 sqm,"$589,200"
99A,#08,624,93 sqm,"$589,200"
99A,#08,626,93 sqm,"$577,000"
99A,#08,628,93 sqm,"$564,800"
99A,#08,630,93 sqm,"$577,000"
99A,#08,632,93 sqm,"$589,200"
99A,#08,634,93 sqm,"$589,200"
99A,#08,636,93 sqm,"$589,200"
99A,#08,638,93 sqm,"$589,200"
99A,#07,622,93 sqm,"$583,100"
99A,#07,624,93 sqm,"$583,100"
99A,#07,626,93 sqm,"$570,900"
99A,#07,628,93 sqm,"$558,700"
99A,#07,630,93 sqm,"$570,900"
99A,#07,632,93 sqm,"$583,100"
99A,#07,634,93 sqm,"$583,100"
99A,#07,636,93 sqm,"$583,100"
99A,#07,638,93 sqm,"$583,100"
99A,#06,622,93 sqm,"$577,000"
99A,#06,624,93 sqm,"$577,000"
99A,#06,626,93 sqm,"$564,800"
99A,#06,628,93 sqm,"$552,600"
99A,#06,630,93 sqm,"$564,800"
99A,#06,632,93 sqm,"$577,000"
99A,#06,634,93 sqm,"$577,000"
99A,#06,636,93 sqm,"$577,000"
99A,#06,638,93 sqm,"$577,000"
99A,#05,622,93 sqm,"$570,900"
99A,#05,624,93 sqm,"$570,900"
99A,#05,626,93 sqm,"$558,700"
99A,#05,628,93 sqm,"$546,500"
99A,#05,630,93 sqm,"$558,700"
99A,#05,632,93 sqm,"$570,900"
99A,#05,634,93 sqm,"$570,900"
99A,#05,636,93 sqm,"$570,900"
99A,#05,638,93 sqm,"$570,900"
99A,#04,622,93 sqm,"$555,600"
99A,#04,624,93 sqm,"$555,600"
99A,#04,626,93 sqm,"$549,500"
99A,#04,628,93 sqm,"$531,200"
99A,#04,630,93 sqm,"$543,400"
99A,#04,632,93 sqm,"$561,700"
99A,#04,634,93 sqm,"$555,600"
99A,#04,636,93 sqm,"$549,500"
99A,#04,638,93 sqm,"$555,600"
99A,#03,622,93 sqm,"$540,300"
99A,#03,624,93 sqm,"$540,300"
99A,#03,626,93 sqm,"$540,300"
99A,#03,628,93 sqm,"$515,900"
99A,#03,630,93 sqm,"$528,100"
99A,#03,632,93 sqm,"$552,500"
99A,#03,634,93 sqm,"$540,300"
99A,#03,636,93 sqm,"$528,100"
99A,#03,638,93 sqm,"$540,300"
99A,#02,622,93 sqm,"$531,100"
99A,#02,624,93 sqm,"$531,100"
99A,#02,626,93 sqm,"$531,100"
99A,#02,628,93 sqm,"$506,700"
99A,#02,630,93 sqm,"$518,900"
99A,#02,632,93 sqm,"$543,300"
99A,#02,634,93 sqm,"$531,100"
99A,#02,636,93 sqm,"$518,900"
99A,#02,638,93 sqm,"$531,100"
99B,#19,640,93 sqm,"$613,200"
99B,#19,642,93 sqm,"$613,200"
99B,#19,648,93 sqm,"$613,200"
99B,#19,650,93 sqm,"$613,200"
99B,#19,652,93 sqm,"$601,000"
99B,#19,654,93 sqm,"$613,200"
99B,#19,656,93 sqm,"$607,100"
99B,#19,658,93 sqm,"$613,200"
99B,#18,640,93 sqm,"$613,200"
99B,#18,642,93 sqm,"$613,200"
99B,#18,648,93 sqm,"$613,200"
99B,#18,650,93 sqm,"$613,200"
99B,#18,652,93 sqm,"$601,000"
99B,#18,654,93 sqm,"$613,200"
99B,#18,656,93 sqm,"$607,100"
99B,#18,658,93 sqm,"$613,200"
99B,#17,640,93 sqm,"$610,800"
99B,#17,642,93 sqm,"$610,800"
99B,#17,648,93 sqm,"$610,800"
99B,#17,650,93 sqm,"$610,800"
99B,#17,652,93 sqm,"$598,600"
99B,#17,654,93 sqm,"$610,800"
99B,#17,656,93 sqm,"$604,700"
99B,#17,658,93 sqm,"$610,800"
99B,#16,640,93 sqm,"$608,400"
99B,#16,642,93 sqm,"$608,400"
99B,#16,648,93 sqm,"$608,400"
99B,#16,650,93 sqm,"$608,400"
99B,#16,652,93 sqm,"$596,200"
99B,#16,654,93 sqm,"$608,400"
99B,#16,656,93 sqm,"$602,300"
99B,#16,658,93 sqm,"$608,400"
99B,#15,640,93 sqm,"$606,000"
99B,#15,642,93 sqm,"$606,000"
99B,#15,644,93 sqm,"$603,600"
99B,#15,646,93 sqm,"$603,600"
99B,#15,648,93 sqm,"$606,000"
99B,#15,650,93 sqm,"$606,000"
99B,#15,652,93 sqm,"$593,800"
99B,#15,654,93 sqm,"$606,000"
99B,#15,656,93 sqm,"$599,900"
99B,#15,658,93 sqm,"$606,000"
99B,#14,640,93 sqm,"$603,600"
99B,#14,642,93 sqm,"$603,600"
99B,#14,644,93 sqm,"$603,600"
99B,#14,646,93 sqm,"$603,600"
99B,#14,648,93 sqm,"$603,600"
99B,#14,650,93 sqm,"$603,600"
99B,#14,652,93 sqm,"$591,400"
99B,#14,654,93 sqm,"$603,600"
99B,#14,656,93 sqm,"$597,500"
99B,#14,658,93 sqm,"$603,600"
99B,#13,640,93 sqm,"$601,200"
99B,#13,642,93 sqm,"$601,200"
99B,#13,644,93 sqm,"$601,200"
99B,#13,646,93 sqm,"$601,200"
99B,#13,648,93 sqm,"$601,200"
99B,#13,650,93 sqm,"$601,200"
99B,#13,652,93 sqm,"$589,000"
99B,#13,654,93 sqm,"$601,200"
99B,#13,656,93 sqm,"$595,100"
99B,#13,658,93 sqm,"$601,200"
99B,#12,640,93 sqm,"$598,800"
99B,#12,642,93 sqm,"$598,800"
99B,#12,644,93 sqm,"$598,800"
99B,#12,646,93 sqm,"$598,800"
99B,#12,648,93 sqm,"$598,800"
99B,#12,650,93 sqm,"$598,800"
99B,#12,652,93 sqm,"$586,600"
99B,#12,654,93 sqm,"$598,800"
99B,#12,656,93 sqm,"$592,700"
99B,#12,658,93 sqm,"$598,800"
99B,#11,640,93 sqm,"$596,400"
99B,#11,642,93 sqm,"$596,400"
99B,#11,644,93 sqm,"$596,400"
99B,#11,646,93 sqm,"$596,400"
99B,#11,648,93 sqm,"$596,400"
99B,#11,650,93 sqm,"$596,400"
99B,#11,652,93 sqm,"$584,200"
99B,#11,654,93 sqm,"$596,400"
99B,#11,656,93 sqm,"$590,300"
99B,#11,658,93 sqm,"$596,400"
99B,#10,640,93 sqm,"$594,000"
99B,#10,642,93 sqm,"$594,000"
99B,#10,644,93 sqm,"$594,000"
99B,#10,646,93 sqm,"$594,000"
99B,#10,648,93 sqm,"$594,000"
99B,#10,650,93 sqm,"$594,000"
99B,#10,652,93 sqm,"$581,800"
99B,#10,654,93 sqm,"$594,000"
99B,#10,656,93 sqm,"$587,900"
99B,#10,658,93 sqm,"$594,000"
99B,#09,640,93 sqm,"$591,600"
99B,#09,642,93 sqm,"$591,600"
99B,#09,644,93 sqm,"$591,600"
99B,#09,646,93 sqm,"$591,600"
99B,#09,648,93 sqm,"$591,600"
99B,#09,650,93 sqm,"$591,600"
99B,#09,652,93 sqm,"$579,400"
99B,#09,654,93 sqm,"$591,600"
99B,#09,656,93 sqm,"$585,500"
99B,#09,658,93 sqm,"$591,600"
99B,#08,640,93 sqm,"$589,200"
99B,#08,642,93 sqm,"$589,200"
99B,#08,644,93 sqm,"$589,200"
99B,#08,646,93 sqm,"$589,200"
99B,#08,648,93 sqm,"$589,200"
99B,#08,650,93 sqm,"$589,200"
99B,#08,652,93 sqm,"$577,000"
99B,#08,654,93 sqm,"$589,200"
99B,#08,656,93 sqm,"$583,100"
99B,#08,658,93 sqm,"$589,200"
99B,#07,640,93 sqm,"$583,100"
99B,#07,642,93 sqm,"$583,100"
99B,#07,644,93 sqm,"$583,100"
99B,#07,646,93 sqm,"$583,100"
99B,#07,648,93 sqm,"$583,100"
99B,#07,650,93 sqm,"$583,100"
99B,#07,652,93 sqm,"$570,900"
99B,#07,654,93 sqm,"$583,100"
99B,#07,656,93 sqm,"$577,000"
99B,#07,658,93 sqm,"$583,100"
99B,#06,640,93 sqm,"$577,000"
99B,#06,642,93 sqm,"$577,000"
99B,#06,644,93 sqm,"$577,000"
99B,#06,646,93 sqm,"$577,000"
99B,#06,648,93 sqm,"$577,000"
99B,#06,650,93 sqm,"$577,000"
99B,#06,652,93 sqm,"$564,800"
99B,#06,654,93 sqm,"$577,000"
99B,#06,656,93 sqm,"$570,900"
99B,#06,658,93 sqm,"$577,000"
99B,#05,640,93 sqm,"$570,900"
99B,#05,642,93 sqm,"$570,900"
99B,#05,644,93 sqm,"$570,900"
99B,#05,646,93 sqm,"$570,900"
99B,#05,648,93 sqm,"$570,900"
99B,#05,650,93 sqm,"$570,900"
99B,#05,652,93 sqm,"$558,700"
99B,#05,654,93 sqm,"$570,900"
99B,#05,656,93 sqm,"$564,800"
99B,#05,658,93 sqm,"$570,900"
99B,#04,640,93 sqm,"$555,600"
99B,#04,642,93 sqm,"$549,500"
99B,#04,648,93 sqm,"$555,600"
99B,#04,650,93 sqm,"$555,600"
99B,#04,652,93 sqm,"$549,500"
99B,#04,654,93 sqm,"$561,700"
99B,#04,656,93 sqm,"$555,600"
99B,#04,658,93 sqm,"$555,600"
99B,#03,640,93 sqm,"$540,300"
99B,#03,642,93 sqm,"$528,100"
99B,#03,648,93 sqm,"$546,400"
99B,#03,650,93 sqm,"$540,300"
99B,#03,652,93 sqm,"$540,300"
99B,#03,654,93 sqm,"$552,500"
99B,#03,656,93 sqm,"$546,400"
99B,#03,658,93 sqm,"$540,300"
99B,#02,640,93 sqm,"$531,100"
99B,#02,642,93 sqm,"$518,900"
99B,#02,648,93 sqm,"$537,200"
99B,#02,650,93 sqm,"$531,100"
99B,#02,652,93 sqm,"$531,100"
99B,#02,654,93 sqm,"$543,300"
99B,#02,656,93 sqm,"$537,200"
99B,#02,658,93 sqm,"$531,100"
